housing_median_age,total_rooms,total_bedrooms,median_income,median_house_value,ocean_proximity
40,2681,737,3,264300,<1H OCEAN
39,2196,582,2,254200,<1H OCEAN
43,1711,443,3,265500,<1H OCEAN
24,3696,1125,2,266700,<1H OCEAN
48,1448,295,3,436400,<1H OCEAN
52,3136,675,3,391900,<1H OCEAN
52,1875,303,5,433300,<1H OCEAN
52,3410,800,4,393500,<1H OCEAN
42,2462,543,4,434400,<1H OCEAN
38,3495,1100,2,438300,<1H OCEAN
48,1601,464,3,342900,<1H OCEAN
26,3977,1050,3,364500,<1H OCEAN
52,1295,281,2,405100,<1H OCEAN
16,2930,1038,2,372200,<1H OCEAN
20,2745,782,3,436400,<1H OCEAN
51,937,348,4,468800,<1H OCEAN
28,2223,752,2,232100,<1H OCEAN
45,1913,696,2,237500,<1H OCEAN
30,1679,682,2,200000,<1H OCEAN
29,732,288,2,250000,<1H OCEAN
32,563,191,2,250000,<1H OCEAN
27,210,98,2,175000,<1H OCEAN
34,1478,675,2,225000,<1H OCEAN
52,786,270,2,206300,<1H OCEAN
36,2332,993,2,230400,<1H OCEAN
39,631,298,2,162500,<1H OCEAN
29,2240,792,2,172500,<1H OCEAN
38,790,275,3,175000,<1H OCEAN
35,2198,998,2,158300,<1H OCEAN
35,2624,1116,2,198400,<1H OCEAN
32,2202,674,2,226700,<1H OCEAN
36,2517,842,2,187500,<1H OCEAN
30,1871,766,2,212500,<1H OCEAN
36,654,186,3,200000,<1H OCEAN
5,2665,954,2,204700,<1H OCEAN
14,3032,999,2,210000,<1H OCEAN
50,3457,854,3,346700,<1H OCEAN
52,1731,502,3,321600,<1H OCEAN
47,1800,546,2,280600,<1H OCEAN
52,1003,200,3,395700,<1H OCEAN
52,2088,388,3,342000,<1H OCEAN
42,2210,643,2,315800,<1H OCEAN
52,1710,350,4,333900,<1H OCEAN
52,1965,480,3,304800,<1H OCEAN
52,1164,257,3,380400,<1H OCEAN
50,2989,832,3,442900,<1H OCEAN
30,1390,457,2,254500,<1H OCEAN
46,2038,534,2,358100,<1H OCEAN
23,1443,521,2,220000,<1H OCEAN
52,1137,304,3,330300,<1H OCEAN
52,2370,473,4,380300,<1H OCEAN
36,1276,503,2,205600,<1H OCEAN
27,1514,510,2,251100,<1H OCEAN
26,1609,534,2,227100,<1H OCEAN
32,2880,1063,2,258300,<1H OCEAN
25,2459,823,2,173900,<1H OCEAN
38,2601,523,7,416700,<1H OCEAN
38,2158,582,2,355300,<1H OCEAN
52,2946,695,3,374100,<1H OCEAN
22,3008,938,3,300000,<1H OCEAN
45,2195,483,3,397900,<1H OCEAN
52,1466,254,5,393600,<1H OCEAN
52,1234,223,6,423700,<1H OCEAN
48,2566,571,3,318600,<1H OCEAN
52,1310,263,4,350000,<1H OCEAN
51,3149,519,6,421600,<1H OCEAN
41,3729,740,5,412700,<1H OCEAN
41,4138,1130,2,306800,<1H OCEAN
46,1156,203,4,352100,<1H OCEAN
52,2036,348,5,397500,<1H OCEAN
52,1803,437,4,360500,<1H OCEAN
44,2728,585,4,324000,<1H OCEAN
50,2113,398,4,304600,<1H OCEAN
49,1767,467,3,210900,<1H OCEAN
48,805,246,2,200000,<1H OCEAN
49,2843,880,2,217300,<1H OCEAN
48,1527,295,4,344800,<1H OCEAN
52,3225,763,3,268800,<1H OCEAN
52,2273,663,2,196500,<1H OCEAN
52,2327,555,3,252300,<1H OCEAN
51,1532,366,3,278800,<1H OCEAN
36,3503,833,3,241400,<1H OCEAN
52,1079,222,4,230800,<1H OCEAN
44,3646,912,2,225000,<1H OCEAN
52,984,276,2,166700,<1H OCEAN
41,1396,360,2,203300,<1H OCEAN
46,945,250,3,187500,<1H OCEAN
35,1147,365,2,198800,<1H OCEAN
36,2306,813,2,170500,<1H OCEAN
28,579,184,2,187500,<1H OCEAN
38,2265,801,2,157500,<1H OCEAN
46,3007,854,2,184300,<1H OCEAN
42,997,374,2,200000,<1H OCEAN
52,2465,773,2,203100,<1H OCEAN
43,962,253,3,185000,<1H OCEAN
42,1618,522,3,182000,<1H OCEAN
52,1739,464,2,228800,<1H OCEAN
39,3162,896,2,213500,<1H OCEAN
40,1630,543,2,169100,<1H OCEAN
40,506,119,3,143800,<1H OCEAN
52,109,20,4,187500,<1H OCEAN
52,137,26,4,137500,<1H OCEAN
47,859,239,2,136100,<1H OCEAN
49,1638,456,2,150000,<1H OCEAN
45,1747,484,2,155500,<1H OCEAN
52,2050,429,3,210000,<1H OCEAN
52,104,20,3,241700,<1H OCEAN
44,1425,438,2,200000,<1H OCEAN
47,2133,689,2,169200,<1H OCEAN
43,1903,635,2,174300,<1H OCEAN
52,1866,470,2,189400,<1H OCEAN
45,2174,627,2,167800,<1H OCEAN
52,3142,765,3,189800,<1H OCEAN
46,2341,703,2,181700,<1H OCEAN
52,830,200,2,232100,<1H OCEAN
43,764,322,2,175000,<1H OCEAN
16,719,225,2,133300,<1H OCEAN
38,1241,298,2,115500,<1H OCEAN
49,1320,309,2,114000,<1H OCEAN
34,1765,551,2,159600,<1H OCEAN
39,986,361,2,133900,<1H OCEAN
39,1594,430,2,138200,<1H OCEAN
41,1807,429,2,126000,<1H OCEAN
39,2054,423,4,213000,<1H OCEAN
52,3672,808,2,153000,<1H OCEAN
39,1561,445,2,144200,<1H OCEAN
35,1504,477,2,145800,<1H OCEAN
31,1077,300,2,160200,<1H OCEAN
52,1770,435,2,167200,<1H OCEAN
31,1453,404,2,153100,<1H OCEAN
36,3334,920,2,170800,<1H OCEAN
48,2514,595,3,142500,<1H OCEAN
45,1327,271,3,153800,<1H OCEAN
40,2744,708,2,148800,<1H OCEAN
44,1688,426,3,184900,<1H OCEAN
10,1907,398,4,200400,<1H OCEAN
10,1940,445,4,166700,<1H OCEAN
7,2529,689,4,153100,<1H OCEAN
8,1116,267,4,230900,<1H OCEAN
35,2226,602,2,129300,<1H OCEAN
38,2965,665,3,166300,<1H OCEAN
42,1555,337,3,169600,<1H OCEAN
44,1734,364,2,163100,<1H OCEAN
33,1515,415,2,175000,<1H OCEAN
50,1568,302,3,162100,<1H OCEAN
36,3066,797,2,156500,<1H OCEAN
33,2907,797,2,146600,<1H OCEAN
31,1318,311,2,135500,<1H OCEAN
33,1369,408,2,151900,<1H OCEAN
43,1523,378,3,144600,<1H OCEAN
39,787,181,3,158500,<1H OCEAN
33,851,231,3,147500,<1H OCEAN
28,2616,630,2,156000,<1H OCEAN
19,2150,544,3,150000,<1H OCEAN
41,247,55,3,135700,<1H OCEAN
37,1155,225,3,148500,<1H OCEAN
27,2025,565,2,148600,<1H OCEAN
46,453,119,2,112500,<1H OCEAN
40,1181,335,2,111800,<1H OCEAN
8,762,204,2,137500,<1H OCEAN
36,2672,675,2,142800,<1H OCEAN
37,349,79,3,125000,<1H OCEAN
46,321,101,2,109400,<1H OCEAN
30,511,153,2,156800,<1H OCEAN
52,470,115,2,109100,<1H OCEAN
34,1083,364,2,153100,<1H OCEAN
34,1113,435,3,155000,<1H OCEAN
28,1079,306,2,131900,<1H OCEAN
45,2146,607,2,144000,<1H OCEAN
42,1703,586,2,147200,<1H OCEAN
41,1268,398,2,150000,<1H OCEAN
43,977,266,2,127900,<1H OCEAN
41,1098,264,2,124300,<1H OCEAN
50,1407,401,2,121800,<1H OCEAN
45,963,234,2,134900,<1H OCEAN
52,1053,246,2,136700,<1H OCEAN
50,1183,246,3,142600,<1H OCEAN
52,1249,307,2,136300,<1H OCEAN
47,1894,408,3,127600,<1H OCEAN
52,1754,452,2,122800,<1H OCEAN
36,1625,490,2,147200,<1H OCEAN
36,1825,479,2,135300,<1H OCEAN
37,845,249,2,165000,<1H OCEAN
47,1325,393,2,148400,<1H OCEAN
52,846,271,2,155000,<1H OCEAN
47,722,235,2,114300,<1H OCEAN
47,1306,391,2,139600,<1H OCEAN
45,1860,472,2,141800,<1H OCEAN
44,1550,407,2,141100,<1H OCEAN
52,497,132,2,146300,<1H OCEAN
47,876,228,2,145000,<1H OCEAN
49,1098,317,2,146000,<1H OCEAN
52,774,209,2,135200,<1H OCEAN
37,1583,392,2,140800,<1H OCEAN
45,792,203,2,129700,<1H OCEAN
44,2702,770,2,144800,<1H OCEAN
48,2230,593,2,130700,<1H OCEAN
42,498,120,3,126600,<1H OCEAN
52,22,7,7,67500,<1H OCEAN
52,346,270,2,225000,<1H OCEAN
6,1529,566,2,162500,<1H OCEAN
40,680,273,2,165600,<1H OCEAN
30,929,238,2,187500,<1H OCEAN
38,715,282,2,225000,<1H OCEAN
42,1175,428,2,213300,<1H OCEAN
34,786,341,2,152100,<1H OCEAN
32,1657,579,2,152500,<1H OCEAN
33,1177,468,2,183300,<1H OCEAN
14,1924,926,2,265900,<1H OCEAN
32,1777,536,2,190000,<1H OCEAN
37,350,245,2,137500,<1H OCEAN
52,1311,310,3,432800,<1H OCEAN
19,3013,1118,2,290600,<1H OCEAN
9,1554,815,2,141700,<1H OCEAN
26,2302,1124,2,253100,<1H OCEAN
31,1489,664,2,230600,<1H OCEAN
26,2107,757,2,282300,<1H OCEAN
36,2657,738,3,281700,<1H OCEAN
28,2362,949,2,305600,<1H OCEAN
49,2549,630,2,350900,<1H OCEAN
40,2657,794,2,445000,<1H OCEAN
25,2740,707,3,404500,<1H OCEAN
18,3759,435,2,175000,<1H OCEAN
20,1782,896,2,75000,<1H OCEAN
46,1759,1012,2,350000,<1H OCEAN
34,1848,667,2,410000,<1H OCEAN
52,2124,756,2,328900,<1H OCEAN
31,2827,1084,2,360000,<1H OCEAN
42,3292,713,3,291500,<1H OCEAN
43,2808,584,4,436800,<1H OCEAN
36,3239,722,4,337000,<1H OCEAN
48,2405,527,3,257800,<1H OCEAN
44,1574,390,2,226300,<1H OCEAN
45,1707,519,2,171300,<1H OCEAN
35,1692,423,2,305800,<1H OCEAN
40,1667,365,3,417600,<1H OCEAN
42,443,223,2,350000,<1H OCEAN
46,1386,457,2,157700,<1H OCEAN
31,1744,720,2,193800,<1H OCEAN
34,1453,588,2,187500,<1H OCEAN
11,677,370,2,350000,<1H OCEAN
52,1801,313,4,479000,<1H OCEAN
52,2066,319,5,450000,<1H OCEAN
52,2877,721,3,175000,<1H OCEAN
52,2373,601,3,225000,<1H OCEAN
52,1902,488,2,175000,<1H OCEAN
48,890,255,3,450000,<1H OCEAN
46,1651,410,4,350000,<1H OCEAN
40,1821,447,2,355200,<1H OCEAN
48,1740,360,4,411100,<1H OCEAN
50,2519,435,4,405600,<1H OCEAN
52,2046,451,3,456900,<1H OCEAN
44,2703,663,3,287500,<1H OCEAN
39,2309,526,3,453400,<1H OCEAN
52,1084,247,3,474300,<1H OCEAN
52,3175,1057,3,225000,<1H OCEAN
52,2530,458,3,321600,<1H OCEAN
52,2069,417,3,396000,<1H OCEAN
52,1482,336,3,327300,<1H OCEAN
52,2837,602,3,250000,<1H OCEAN
48,1354,279,3,385000,<1H OCEAN
52,1368,322,5,440900,<1H OCEAN
33,2880,836,2,328800,<1H OCEAN
48,3551,826,3,400000,<1H OCEAN
39,2810,670,3,355000,<1H OCEAN
52,843,160,4,446000,<1H OCEAN
28,2522,616,3,362500,<1H OCEAN
29,3946,1008,2,450000,<1H OCEAN
31,4345,1158,2,310000,<1H OCEAN
35,2457,552,3,345300,<1H OCEAN
52,1197,231,3,278500,<1H OCEAN
48,1266,234,4,275000,<1H OCEAN
41,2369,544,2,296100,<1H OCEAN
52,2239,423,5,470000,<1H OCEAN
52,2346,437,4,444300,<1H OCEAN
52,1563,306,3,440900,<1H OCEAN
48,1825,404,3,322600,<1H OCEAN
47,1424,300,4,295200,<1H OCEAN
48,1835,380,3,243600,<1H OCEAN
49,995,184,2,242000,<1H OCEAN
45,1879,395,3,254700,<1H OCEAN
50,3518,812,3,338100,<1H OCEAN
52,2053,480,3,417900,<1H OCEAN
47,1621,314,5,474100,<1H OCEAN
52,1004,231,4,351000,<1H OCEAN
52,1241,210,4,334100,<1H OCEAN
49,702,435,4,333600,<1H OCEAN
40,2352,598,3,287500,<1H OCEAN
47,2815,679,2,234100,<1H OCEAN
44,1856,493,2,158000,<1H OCEAN
42,1372,435,2,202100,<1H OCEAN
45,2283,435,2,252000,<1H OCEAN
46,2149,451,2,290800,<1H OCEAN
50,2009,419,3,213500,<1H OCEAN
39,975,292,2,140600,<1H OCEAN
52,1971,414,3,195800,<1H OCEAN
52,2194,504,2,259400,<1H OCEAN
39,2965,812,2,172700,<1H OCEAN
39,1294,330,2,165000,<1H OCEAN
48,1184,328,2,156300,<1H OCEAN
31,1090,251,2,192500,<1H OCEAN
46,3015,795,2,268500,<1H OCEAN
52,2545,401,3,420000,<1H OCEAN
41,2099,472,2,167100,<1H OCEAN
35,2345,607,2,139700,<1H OCEAN
40,2064,662,2,127100,<1H OCEAN
49,1104,266,3,151600,<1H OCEAN
45,1579,357,2,179200,<1H OCEAN
48,1769,429,2,139400,<1H OCEAN
45,1767,417,3,157000,<1H OCEAN
38,1626,375,2,146800,<1H OCEAN
43,1690,379,2,133500,<1H OCEAN
37,1236,435,3,122200,<1H OCEAN
34,3239,806,2,125800,<1H OCEAN
41,1617,423,2,169400,<1H OCEAN
45,1839,459,2,138000,<1H OCEAN
42,1681,360,2,171400,<1H OCEAN
33,1806,444,2,161500,<1H OCEAN
48,2437,443,2,251100,<1H OCEAN
42,1766,404,2,168800,<1H OCEAN
44,1008,223,2,176800,<1H OCEAN
35,3189,935,2,114000,<1H OCEAN
47,1082,198,3,223200,<1H OCEAN
50,1845,349,2,127800,<1H OCEAN
47,1734,453,3,121500,<1H OCEAN
52,2511,587,2,127100,<1H OCEAN
51,2010,460,2,133400,<1H OCEAN
47,1648,346,2,114200,<1H OCEAN
46,1528,391,2,125700,<1H OCEAN
48,1614,320,4,181000,<1H OCEAN
44,2067,385,3,156900,<1H OCEAN
43,2122,524,2,123300,<1H OCEAN
52,427,92,3,134700,<1H OCEAN
36,1083,342,2,143800,<1H OCEAN
38,1400,376,2,120000,<1H OCEAN
38,2365,638,2,120700,<1H OCEAN
43,1350,287,3,140900,<1H OCEAN
46,2437,502,2,134100,<1H OCEAN
49,1609,371,2,136600,<1H OCEAN
50,1172,261,3,130300,<1H OCEAN
49,1295,276,3,130200,<1H OCEAN
41,1425,285,3,188400,<1H OCEAN
44,1944,458,2,193200,<1H OCEAN
39,1155,433,2,153400,<1H OCEAN
41,659,291,2,132500,<1H OCEAN
48,1353,488,2,123700,<1H OCEAN
51,1005,314,2,162500,<1H OCEAN
35,2007,571,2,229200,<1H OCEAN
33,2691,726,2,208300,<1H OCEAN
29,2038,578,2,214600,<1H OCEAN
52,1277,285,2,234600,<1H OCEAN
37,1470,399,2,150000,<1H OCEAN
44,1941,579,2,143000,<1H OCEAN
35,1090,345,2,152800,<1H OCEAN
31,700,299,2,128100,<1H OCEAN
32,432,182,2,125000,<1H OCEAN
45,943,289,2,151600,<1H OCEAN
38,1501,437,2,135200,<1H OCEAN
27,1084,287,2,119600,<1H OCEAN
46,2173,510,2,135500,<1H OCEAN
52,1902,406,2,132200,<1H OCEAN
52,1173,284,2,111400,<1H OCEAN
45,1423,278,2,98100,<1H OCEAN
47,2241,559,2,147900,<1H OCEAN
40,1695,374,2,150000,<1H OCEAN
34,2041,517,2,156600,<1H OCEAN
46,1976,469,2,112100,<1H OCEAN
21,1641,491,2,141300,<1H OCEAN
20,1193,454,2,180000,<1H OCEAN
48,1521,513,2,162500,<1H OCEAN
50,180,89,2,158300,<1H OCEAN
52,1274,418,2,124000,<1H OCEAN
38,1091,349,2,136500,<1H OCEAN
37,1551,501,2,117700,<1H OCEAN
46,1249,357,2,114800,<1H OCEAN
39,698,232,2,119500,<1H OCEAN
33,1676,525,2,100800,<1H OCEAN
32,1311,410,2,119900,<1H OCEAN
48,396,99,2,107500,<1H OCEAN
31,1301,403,2,100800,<1H OCEAN
46,879,253,2,118300,<1H OCEAN
21,1314,375,2,97200,<1H OCEAN
43,1235,385,2,113300,<1H OCEAN
46,1748,428,2,103800,<1H OCEAN
29,1419,363,2,101300,<1H OCEAN
39,1274,319,2,107900,<1H OCEAN
46,1098,426,2,156300,<1H OCEAN
39,2073,566,2,117100,<1H OCEAN
48,2544,532,2,121000,<1H OCEAN
52,1793,350,3,123700,<1H OCEAN
42,814,223,2,123200,<1H OCEAN
52,1908,428,2,136200,<1H OCEAN
52,1444,343,2,134400,<1H OCEAN
46,1650,463,2,114100,<1H OCEAN
48,483,190,2,126600,<1H OCEAN
38,3335,921,2,118800,<1H OCEAN
42,1534,417,2,119200,<1H OCEAN
48,1514,376,2,96100,<1H OCEAN
44,1753,387,2,105800,<1H OCEAN
52,1319,295,2,128600,<1H OCEAN
52,2579,494,2,109600,<1H OCEAN
52,1686,377,2,116400,<1H OCEAN
52,1296,246,3,111600,<1H OCEAN
52,1718,354,2,128000,<1H OCEAN
52,2709,642,2,122500,<1H OCEAN
47,1525,359,2,126600,<1H OCEAN
45,1489,339,2,104800,<1H OCEAN
46,2198,530,2,103400,<1H OCEAN
52,1283,342,2,101900,<1H OCEAN
52,3104,645,2,128000,<1H OCEAN
50,1655,256,4,194300,<1H OCEAN
48,1949,308,3,189700,<1H OCEAN
50,1842,377,3,157700,<1H OCEAN
47,1745,371,2,123400,<1H OCEAN
46,2223,361,4,182600,<1H OCEAN
47,1320,259,3,193000,<1H OCEAN
42,2043,378,3,181100,<1H OCEAN
44,4032,913,2,165800,<1H OCEAN
43,2227,564,2,187500,<1H OCEAN
50,2189,460,2,120900,<1H OCEAN
47,1671,388,2,121500,<1H OCEAN
47,825,187,2,133300,<1H OCEAN
43,2028,479,2,98700,<1H OCEAN
44,1918,387,2,126500,<1H OCEAN
46,1582,315,3,149600,<1H OCEAN
48,2009,335,4,170500,<1H OCEAN
48,1260,284,2,115200,<1H OCEAN
43,1257,232,3,108900,<1H OCEAN
43,2224,550,2,122500,<1H OCEAN
46,1217,322,3,140300,<1H OCEAN
47,949,210,2,114700,<1H OCEAN
40,1298,277,3,104300,<1H OCEAN
46,1611,339,3,103300,<1H OCEAN
48,2225,433,2,140400,<1H OCEAN
46,2126,409,2,149000,<1H OCEAN
47,2183,380,4,180100,<1H OCEAN
47,2512,461,3,207600,<1H OCEAN
44,1448,314,2,108600,<1H OCEAN
52,1778,320,3,138800,<1H OCEAN
44,2526,579,2,158800,<1H OCEAN
47,1830,369,4,156400,<1H OCEAN
46,3745,798,3,195800,<1H OCEAN
33,3140,466,6,350400,<1H OCEAN
33,2263,430,4,246800,<1H OCEAN
31,1893,450,4,140600,<1H OCEAN
35,1359,359,2,312500,<1H OCEAN
44,1527,246,4,187800,<1H OCEAN
33,3246,601,3,353200,<1H OCEAN
35,3776,435,3,332100,<1H OCEAN
28,3085,621,3,301000,<1H OCEAN
39,979,235,2,108900,<1H OCEAN
43,1534,384,2,94500,<1H OCEAN
44,222,54,5,111700,<1H OCEAN
49,857,196,2,108000,<1H OCEAN
52,1837,426,2,96500,<1H OCEAN
52,1607,331,3,96600,<1H OCEAN
52,1975,379,2,112200,<1H OCEAN
49,1993,446,2,119800,<1H OCEAN
48,1124,231,3,93100,<1H OCEAN
52,1371,315,2,94000,<1H OCEAN
48,1998,410,3,102400,<1H OCEAN
44,1242,270,2,95200,<1H OCEAN
47,865,193,2,93000,<1H OCEAN
46,1425,317,3,98500,<1H OCEAN
44,1521,289,2,99800,<1H OCEAN
42,944,200,2,124100,<1H OCEAN
50,2270,451,2,119400,<1H OCEAN
52,1595,325,3,124200,<1H OCEAN
47,2066,422,2,125800,<1H OCEAN
52,1629,277,3,142600,<1H OCEAN
48,1541,314,3,136100,<1H OCEAN
41,1353,286,2,131700,<1H OCEAN
50,1843,326,3,120000,<1H OCEAN
43,1823,358,3,131000,<1H OCEAN
44,1558,333,4,133500,<1H OCEAN
44,2490,430,4,149600,<1H OCEAN
43,2104,393,3,142000,<1H OCEAN
46,1686,303,3,136300,<1H OCEAN
48,2015,356,4,138700,<1H OCEAN
48,3139,587,3,134200,<1H OCEAN
43,2009,442,2,109500,<1H OCEAN
39,2802,618,2,136300,<1H OCEAN
47,2112,417,3,117400,<1H OCEAN
52,2523,460,3,127400,<1H OCEAN
47,1586,322,4,140400,<1H OCEAN
47,2005,392,3,140300,<1H OCEAN
44,1722,457,2,92500,<1H OCEAN
39,2569,688,2,101400,<1H OCEAN
42,796,203,2,92600,<1H OCEAN
40,2044,538,2,94800,<1H OCEAN
35,1401,362,2,99300,<1H OCEAN
43,1201,292,2,105600,<1H OCEAN
34,1089,278,2,107700,<1H OCEAN
34,987,248,2,98000,<1H OCEAN
34,1261,315,2,88800,<1H OCEAN
29,1579,351,2,98500,<1H OCEAN
45,1080,218,2,93400,<1H OCEAN
44,795,181,2,90300,<1H OCEAN
41,570,135,2,91300,<1H OCEAN
34,721,165,2,92400,<1H OCEAN
42,657,147,2,110200,<1H OCEAN
44,1631,338,3,100000,<1H OCEAN
42,1898,460,2,97400,<1H OCEAN
43,2021,379,3,129900,<1H OCEAN
47,1782,338,2,105700,<1H OCEAN
41,936,257,2,122600,<1H OCEAN
40,1935,461,2,120200,<1H OCEAN
41,896,198,2,128100,<1H OCEAN
43,269,74,2,90600,<1H OCEAN
45,529,112,3,90600,<1H OCEAN
44,1463,312,2,99800,<1H OCEAN
37,869,241,2,84200,<1H OCEAN
34,796,180,2,88300,<1H OCEAN
39,1141,258,2,90100,<1H OCEAN
35,1090,267,2,97600,<1H OCEAN
36,1110,435,2,92100,<1H OCEAN
25,4077,1151,3,337500,<1H OCEAN
21,3639,1002,4,387500,<1H OCEAN
21,730,263,2,350000,<1H OCEAN
24,3832,949,3,477300,<1H OCEAN
28,801,399,2,181300,<1H OCEAN
22,3319,1045,3,283300,<1H OCEAN
19,3522,1036,3,337500,<1H OCEAN
19,3330,1010,3,393800,<1H OCEAN
25,2142,718,3,325000,<1H OCEAN
25,2768,850,3,360000,<1H OCEAN
17,2729,897,3,420800,<1H OCEAN
31,2621,707,3,348100,<1H OCEAN
21,2819,648,3,360200,<1H OCEAN
45,727,168,2,300000,<1H OCEAN
39,1657,402,3,336300,<1H OCEAN
49,32,7,2,225000,<1H OCEAN
31,2670,662,3,347800,<1H OCEAN
46,1508,276,4,409800,<1H OCEAN
42,2725,569,4,427500,<1H OCEAN
35,2458,576,4,412500,<1H OCEAN
25,2814,701,4,460000,<1H OCEAN
44,1873,286,5,461300,<1H OCEAN
35,2237,592,2,207700,<1H OCEAN
31,2846,727,2,254200,<1H OCEAN
45,767,130,6,340400,<1H OCEAN
36,3005,771,2,309100,<1H OCEAN
39,2614,569,3,271600,<1H OCEAN
41,101,23,4,237500,<1H OCEAN
52,1492,277,4,340400,<1H OCEAN
49,1230,279,3,308300,<1H OCEAN
28,1722,536,3,232500,<1H OCEAN
25,3442,1050,3,319400,<1H OCEAN
24,1101,318,3,319400,<1H OCEAN
43,1006,201,6,372800,<1H OCEAN
27,515,201,2,184400,<1H OCEAN
24,2610,756,3,281300,<1H OCEAN
19,1450,509,3,55000,<1H OCEAN
36,2101,569,2,222100,<1H OCEAN
39,1366,375,3,230900,<1H OCEAN
43,888,170,3,202800,<1H OCEAN
42,1809,424,2,143000,<1H OCEAN
43,912,255,2,185700,<1H OCEAN
25,542,161,2,333300,<1H OCEAN
43,1465,278,4,289400,<1H OCEAN
45,1262,223,5,427300,<1H OCEAN
45,1740,311,5,373600,<1H OCEAN
39,1733,429,3,340800,<1H OCEAN
26,1706,516,3,372700,<1H OCEAN
44,904,176,3,344200,<1H OCEAN
25,2059,659,3,352400,<1H OCEAN
36,1552,388,3,346700,<1H OCEAN
37,1193,205,3,357600,<1H OCEAN
37,975,189,4,331000,<1H OCEAN
30,1039,303,3,343800,<1H OCEAN
41,1240,320,3,318100,<1H OCEAN
41,2083,528,4,353900,<1H OCEAN
41,1164,265,4,350900,<1H OCEAN
37,1592,308,6,386000,<1H OCEAN
43,1408,246,4,400000,<1H OCEAN
41,1309,221,5,418800,<1H OCEAN
37,1328,250,5,440100,<1H OCEAN
40,1361,240,6,354300,<1H OCEAN
36,2424,418,6,405800,<1H OCEAN
39,3278,632,6,465700,<1H OCEAN
44,629,131,4,374300,<1H OCEAN
21,3244,815,3,340800,<1H OCEAN
34,2243,444,4,414100,<1H OCEAN
28,3167,737,3,394700,<1H OCEAN
34,2995,942,2,450000,<1H OCEAN
34,1430,357,3,307000,<1H OCEAN
22,3292,1134,3,348800,<1H OCEAN
26,2664,842,3,301900,<1H OCEAN
35,1728,442,3,310000,<1H OCEAN
27,2224,618,3,315500,<1H OCEAN
33,2731,535,4,420100,<1H OCEAN
32,1300,356,3,394000,<1H OCEAN
27,3133,1021,2,412500,<1H OCEAN
41,1527,279,6,446600,<1H OCEAN
42,2061,396,6,420000,<1H OCEAN
44,1462,338,2,362200,<1H OCEAN
44,1798,353,4,355800,<1H OCEAN
39,1909,359,4,334700,<1H OCEAN
40,1287,346,3,321300,<1H OCEAN
30,2148,597,3,324000,<1H OCEAN
41,1562,377,4,324300,<1H OCEAN
42,1594,369,3,335400,<1H OCEAN
29,1996,489,3,344200,<1H OCEAN
31,1930,456,3,458600,<1H OCEAN
43,513,98,5,343100,<1H OCEAN
39,4098,1100,2,345600,<1H OCEAN
37,388,83,5,326700,<1H OCEAN
36,1392,260,4,346900,<1H OCEAN
39,711,148,4,297200,<1H OCEAN
38,1235,390,2,287500,<1H OCEAN
41,2331,636,2,263500,<1H OCEAN
39,614,174,2,235700,<1H OCEAN
34,1875,501,2,321400,<1H OCEAN
37,2586,765,2,305800,<1H OCEAN
31,1312,376,2,300000,<1H OCEAN
41,1146,310,2,285000,<1H OCEAN
33,854,235,2,239300,<1H OCEAN
40,1901,679,2,425000,<1H OCEAN
46,2219,686,2,387500,<1H OCEAN
50,1568,501,3,414300,<1H OCEAN
52,1523,447,3,412500,<1H OCEAN
52,2167,622,2,358700,<1H OCEAN
37,2155,721,3,267500,<1H OCEAN
52,709,329,2,350000,<1H OCEAN
52,1010,244,4,363200,<1H OCEAN
52,1158,253,3,334700,<1H OCEAN
44,1122,287,4,335900,<1H OCEAN
44,941,230,3,325800,<1H OCEAN
52,888,206,3,372000,<1H OCEAN
46,1777,362,4,348300,<1H OCEAN
43,1606,408,3,345800,<1H OCEAN
48,1923,408,4,326700,<1H OCEAN
33,3125,785,2,325000,<1H OCEAN
52,1829,472,3,339000,<1H OCEAN
41,885,285,3,303800,<1H OCEAN
37,1828,460,4,360600,<1H OCEAN
32,2388,591,5,466700,<1H OCEAN
45,1132,269,4,343100,<1H OCEAN
26,1919,405,6,420800,<1H OCEAN
10,1526,339,5,321800,<1H OCEAN
35,684,161,2,272000,<1H OCEAN
30,3550,934,3,271200,<1H OCEAN
18,1307,441,2,276300,<1H OCEAN
35,1701,482,3,284600,<1H OCEAN
35,2243,495,4,324000,<1H OCEAN
45,1899,461,2,320000,<1H OCEAN
43,2483,548,4,302900,<1H OCEAN
3,475,155,3,450000,<1H OCEAN
42,2558,558,4,301300,<1H OCEAN
43,1432,308,4,303900,<1H OCEAN
38,740,171,4,248900,<1H OCEAN
35,1724,419,4,263800,<1H OCEAN
35,1062,305,2,265500,<1H OCEAN
36,1089,234,3,276100,<1H OCEAN
39,1613,380,2,276700,<1H OCEAN
33,3331,777,3,307200,<1H OCEAN
38,993,175,6,357200,<1H OCEAN
43,2715,458,7,362600,<1H OCEAN
44,1097,186,6,361400,<1H OCEAN
43,2700,510,5,345900,<1H OCEAN
46,2198,352,6,350800,<1H OCEAN
45,1361,252,5,340700,<1H OCEAN
45,1436,374,3,329400,<1H OCEAN
40,1113,234,3,316000,<1H OCEAN
39,303,69,4,331800,<1H OCEAN
37,1629,275,6,387200,<1H OCEAN
44,2298,388,5,363500,<1H OCEAN
44,1877,314,6,363600,<1H OCEAN
44,1802,306,6,356000,<1H OCEAN
